left,right,stim,ParticipantAnswer,response_training.keys,response_training.corr,response_training.rt,training_social.thisRepN,training_social.thisTrialN,training_social.thisN,training_social.thisIndex,training_social.ran,Stim,filename_neutral,filename_feedback_happy,filename_feedback_angry,CorrCatTrain,participant,session,date,expName,psychopyVersion,OS,frameRate,training_nonsocial.thisRepN,training_nonsocial.thisTrialN,training_nonsocial.thisN,training_nonsocial.thisIndex,training_nonsocial.ran,CorrCat,CorrectAns,prob_fb.thisRepN,prob_fb.thisTrialN,prob_fb.thisN,prob_fb.thisIndex,prob_fb.ran,CorrCatProb,response_training_2.keys,response_training_2.corr,response_training_2.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,cycles.thisRepN,cycles.thisTrialN,cycles.thisN,cycles.thisIndex,cycles.ran,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran
A,B,91,A,left,0,2.817,0,0,0,2,1,91,ADFES/Freigestellt/Neutral/F01-Neutral-Face Forward_freigestellt.mp4,ADFES/Freigestellt/Joy/Used/F01-Joy-Face Forward_freigestellt.mp4,ADFES/Freigestellt/Anger/F01-Anger-Face Forward_freigestellt.mp4,B,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,38,B,right,0,2.086,0,1,1,3,1,38,ADFES/Freigestellt/Neutral/M06-Neutral-Face Forward_freigestellt.mp4,ADFES/Freigestellt/Joy/Used/M06-Joy-Face Forward_freigestellt.mp4,ADFES/Freigestellt/Anger/M06-Anger-Face Forward_freigestellt.mp4,B,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,99,B,right,0,2.306,0,2,2,0,1,99,ADFES/Freigestellt/Neutral/F04-Neutral-Face Forward_freigestellt.mp4,ADFES/Freigestellt/Joy/Used/F04-Joy-Face Forward_freigestellt.mp4,ADFES/Freigestellt/Anger/F04-Anger-Face Forward_freigestellt.mp4,A,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,38,A,left,0,1.836,0,3,3,1,1,38,ADFES/Freigestellt/Neutral/M02-Neutral-Face Forward_freigestellt.mp4,ADFES/Freigestellt/Joy/Used/M02-Joy-Face Forward_freigestellt.mp4,ADFES/Freigestellt/Anger/M02-Anger-Face Forward_freigestellt.mp4,A,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,53,A,left,0,1.973,,,,,,53,Mandalas_new/neutral/Mandala2_neutral.mp4,Mandalas_new/happy/Mandala2_happy.mp4,Mandalas_new/angry/Mandala2_angry.mp4,A,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,98,B,right,0,2.505,,,,,,98,Mandalas_new/neutral/Mandala3_neutral.mp4,Mandalas_new/happy/Mandala3_happy.mp4,Mandalas_new/angry/Mandala3_angry.mp4,B,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,39,B,right,0,1.856,,,,,,39,Mandalas_new/neutral/Mandala1_neutral.mp4,Mandalas_new/happy/Mandala1_happy.mp4,Mandalas_new/angry/Mandala1_angry.mp4,B,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,0,2,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,43,A,left,0,1.558,,,,,,43,Mandalas_new/neutral/Mandala4_neutral.mp4,Mandalas_new/happy/Mandala4_happy.mp4,Mandalas_new/angry/Mandala4_angry.mp4,A,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,0,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
A,B,38,A,left,0,1.122,,,,,,38,ADFES/Freigestellt/Neutral/M02-Neutral-Face Forward_freigestellt.mp4,ADFES/Freigestellt/Joy/Used/M02-Joy-Face Forward_freigestellt.mp4,ADFES/Freigestellt/Anger/M02-Anger-Face Forward_freigestellt.mp4,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,"[[""A"",""B"",""A"",""B""],[""B"",""B"",""A"",""A""],[""B"",""B"",""A"",""A""],[""A"",""B"",""A"",""B""]]",Yes,0,0,0,1,1,A,,,,,,,,,,,,,,,,,,
A,B,99,A,left,0,1.668,,,,,,99,ADFES/Freigestellt/Neutral/F04-Neutral-Face Forward_freigestellt.mp4,ADFES/Freigestellt/Joy/Used/F04-Joy-Face Forward_freigestellt.mp4,ADFES/Freigestellt/Anger/F04-Anger-Face Forward_freigestellt.mp4,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,"[[""A"",""B"",""A"",""B""],[""B"",""B"",""A"",""A""],[""B"",""B"",""A"",""A""],[""A"",""B"",""A"",""B""]]",Yes,0,1,1,0,1,A,,,,,,,,,,,,,,,,,,
A,B,91,A,left,0,2.256,,,,,,91,ADFES/Freigestellt/Neutral/F01-Neutral-Face Forward_freigestellt.mp4,ADFES/Freigestellt/Joy/Used/F01-Joy-Face Forward_freigestellt.mp4,ADFES/Freigestellt/Anger/F01-Anger-Face Forward_freigestellt.mp4,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,"[[""A"",""B"",""A"",""B""],[""B"",""B"",""A"",""A""],[""B"",""B"",""A"",""A""],[""A"",""B"",""A"",""B""]]",No,0,2,2,2,1,B,,,,,,,,,,,,,,,,,,
A,B,38,A,left,0,0.968,,,,,,38,ADFES/Freigestellt/Neutral/M06-Neutral-Face Forward_freigestellt.mp4,ADFES/Freigestellt/Joy/Used/M06-Joy-Face Forward_freigestellt.mp4,ADFES/Freigestellt/Anger/M06-Anger-Face Forward_freigestellt.mp4,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,"[[""A"",""B"",""A"",""B""],[""B"",""B"",""A"",""A""],[""B"",""B"",""A"",""A""],[""A"",""B"",""A"",""B""]]",No,0,3,3,3,1,B,,,,,,,,,,,,,,,,,,
A,B,63,B,,,,,,,,,,,,,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,right,0,1.399,0,0,0,0,1,,,,,,,,,,
A,B,13,B,,,,,,,,,,,,,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,A,No,,,,,,,right,0,1.218,1,0,1,0,1,,,,,,,,,,
A,B,27,A,,,,,,,,,,,,,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,left,0,1.352,2,0,2,0,1,,,,,,,,,,
A,B,72,A,,,,,,,,,,,,,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,B,No,,,,,,,left,0,1.623,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,
B,A,27,B,,,,,,,,,,,,,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,A,No,,,,,,,left,0,2.435,0,0,0,0,1,,,,,,,,,,
B,A,72,A,,,,,,,,,,,,,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,B,No,,,,,,,right,0,0.906,1,0,1,0,1,,,,,,,,,,
B,A,63,A,,,,,,,,,,,,,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,B,No,,,,,,,right,0,1.536,2,0,2,0,1,,,,,,,,,,
B,A,13,A,,,,,,,,,,,,,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,1.434,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,,,,,
A,B,13,A,,,,,,,,,,,,,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,left,0,2.255,0,0,0,0,1,,,,,,,,,,
A,B,63,B,,,,,,,,,,,,,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,right,0,2.469,1,0,1,0,1,,,,,,,,,,
A,B,72,A,,,,,,,,,,,,,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,B,No,,,,,,,left,0,1.318,2,0,2,0,1,,,,,,,,,,
A,B,27,B,,,,,,,,,,,,,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,A,No,,,,,,,right,0,2.336,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,2,0,2,0,1,,,,,
B,A,13,B,,,,,,,,,,,,,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,A,No,,,,,,,left,0,1.584,0,0,0,0,1,,,,,,,,,,
B,A,27,B,,,,,,,,,,,,,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,A,No,,,,,,,left,0,1.167,1,0,1,0,1,,,,,,,,,,
B,A,63,A,,,,,,,,,,,,,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,B,No,,,,,,,right,0,1.801,2,0,2,0,1,,,,,,,,,,
B,A,72,A,,,,,,,,,,,,,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,B,No,,,,,,,right,0,1.27,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,3,0,3,0,1,,,,,
B,A,63,B,,,,,,,,,,,,,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,1.92,0,0,0,0,1,,,,,,,,,,
B,A,13,A,,,,,,,,,,,,,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,1.589,1,0,1,0,1,,,,,,,,,,
B,A,72,B,,,,,,,,,,,,,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,3.356,2,0,2,0,1,,,,,,,,,,
B,A,27,B,,,,,,,,,,,,,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,A,No,,,,,,,left,0,2.155,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,4,0,4,0,1,,,,,
B,A,13,A,,,,,,,,,,,,,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,2.591,0,0,0,0,1,,,,,,,,,,
B,A,63,A,,,,,,,,,,,,,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,B,No,,,,,,,right,0,1.855,1,0,1,0,1,,,,,,,,,,
B,A,72,B,,,,,,,,,,,,,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,2.428,2,0,2,0,1,,,,,,,,,,
B,A,27,A,,,,,,,,,,,,,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,right,0,1.421,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,5,0,5,0,1,,,,,
,,,,,,,,,,,,,,,,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1
A,B,28,A,,,,,,,,,,,,,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,A,Yes,,,,,,,left,0,1.465,0,0,0,0,1,,,,,,,,,,
A,B,24,B,,,,,,,,,,,,,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,right,0,1.17,1,0,1,0,1,,,,,,,,,,
A,B,18,B,,,,,,,,,,,,,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,right,0,1.134,2,0,2,0,1,,,,,,,,,,
A,B,68,B,,,,,,,,,,,,,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,A,No,,,,,,,right,0,2.051,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,,,,,
B,A,24,A,,,,,,,,,,,,,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,B,No,,,,,,,right,0,2.367,0,0,0,0,1,,,,,,,,,,
B,A,18,B,,,,,,,,,,,,,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,B,Yes,,,,,,,left,0,1.204,1,0,1,0,1,,,,,,,,,,
B,A,68,B,,,,,,,,,,,,,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,A,No,,,,,,,left,0,1.168,2,0,2,0,1,,,,,,,,,,
B,A,28,B,,,,,,,,,,,,,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,A,No,,,,,,,left,0,2.152,3,0,3,0,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,1,,,,,
B,A,24,A,,,,,,,,,,,,,,Gio,001,2021-09-15_14h26.05.013,RALT,2020.2.10,Win32,60,,,,,,B,No,,,,,,,right,0,2.487,0,0,0,0,1,,,,,,,,,,
